S. No.	Product Name	Product Code	MFR No.	BPR No.	Revision No.	Effective Date	Remarks
135.		SKYVIL INJ 2ML	FAMP-0170	MFR/LA/139	BPR/LA/139
	02	03/03/2025	OK
136.		MECO SKY INJ 1ML	FAMP-0177	MFR/LA/140	BPR/LA/140
	00	11/09/2020	OK
137.		ATROMAP INJ 1ML BP	FAMP-0194	MFR/LA/141	BPR/LA/141
	01	09/07/2024	OK
138.		PIROXITAS INJ 2ML	FAMP-0186	MFR/LA/142	BPR/LA/142
	04	23/06/2025	OK
139.		PIROXINEX INJ  2ML	FAMP-0185	MFR/LA/143	BPR/LA/143
	04	23/06/2025	INTAS
140.		PARVOLIN PLUS INJ 2ML 	FAMP-0161	MFR/LA/144	BPR/LA/144
	02	11/07/2025	jagsonpal
141.		METOMAP INJ 5ML	FAMP-0187	MFR/LA/145	BPR/LA/145
	02	11/08/2025	OK
142.		DECA-INSTABOLIN 25MG INJ 1ML	FAMP-0183	MFR/LA/146	BPR/LA/146	00	22/10/2020	Discontinue
143.		LARIAOMAP INJ 5ML	FAMP-0201	MFR/LA/147	BPR/LA/147	00	13/11/2020	SKYMAP
144.		DEPHILINE INJ 2ML	FAMP-0192	MFR/LA/148	BPR/LA/148	01	26/07/2024	GLENSMITH
145.		DERIMAP INJ 2ML	FAMP-0188	MFR/LA/149	BPR/LA/149	02	26/07/2024	SKYMAP
146.		PCM INJECTION 2 ML	FAMP-0195	MFR/LA/150	BPR/LA/150	02	26/06/2025	INTAS
147.		ACTICIN INJ 2 ML	FAMP-0200	MFR/LA/151	BPR/LA/151	01	05/02/2025	INTAS
148.		SPASMOBERT 2 ML INJECTION	FAMP-0197	MFR/LA/152	BPR/LA/152	00	30/11/2020	ADL
149.		DROTAVERT INJECTION 2ML	FAMP-0196	MFR/LA/153	BPR/LA/153	00	30/11/2020	ADL
150.		NEUROMAP INJ 3ML	FAMP-0189	MFR/LA/154	BPR/LA/154	00	11/12/2020	SKYMAP
151.		TRANEBERT INJ 5ML	FAMP-0198	MFR/LA/155	BPR/LA/155	03	12/08/2025	ADL
152.		POLYBCOM INJ 2ML	FAMP-0193	MFR/LA/156	BPR/LA/156	01	07/7/2025	GLENSMITH
153.		POLYMAP INJ 2ML	FAMP-0191	MFR/LA/157	BPR/LA/157	01	07/07/2025	SKYMAP
154.		OPTIMAP INJ 3ML	FAMP-0190	MFR/LA/158	BPR/LA/158	00	06/01/2021	SKYMAP
155.		LESURMAP INJ 2ML	FAMP-0204	MFR/LA/159	BPR/LA/159	00	09/02/2021	TORRVIS
156.		BOLIMETHER INJ 2ML	FAMP-0218	MFR/LA/160	BPR/LA/160	01	29/04/2024	GLENSMITH
157.		NAN-D INJ 25 MG	FAMP-0207	MFR/LA/161	BPR/LA/161	00	19/02/2021	Discontinue
158.		KETORMA INJ 1ML	FAMP-0209	MFR/LA/162	BPR/LA/162	02	03/07/2024	Ancalima
159.		TORYNOL INJ 2ML	FAMP-0211	MFR/LA/163	BPR/LA/163	01	24/02/2025	TORRVIS
160.		TORYNOL INJ 5ML	FAMP-0212	MFR/LA/164	BPR/LA/164	02	24/12/2025	Ancalima
161.		ONDASTON INJ 4ML	FAMP-0210	MFR/LA/165	BPR/LA/165	05	22/09/2025	Ancalima
162.		POLYMAP MVI INFUSION 10ML	FAMP-0216	MFR/LA/166	BPR/LA/166	02	25/11/2025	TORRVIS
163.		HEPAMAP INFUSION 10ML	FAMP-0215	MFR/LA/167	BPR/LA/167	00	07/04/2021	TORRVIS(skymap)
164.		NPMAP INJ 25 MG	FAMP-0217	MFR/LA/168	BPR/LA/168	00	06/04/2021	Discontinue
165.		LINCOMAP INJ 1ML	FAMP-0213	MFR/LA/169	BPR/LA/169	00	22/04/2021	TORRVIS
(skymap)
166.		LINCOMAP INJ 2ML	FAMP-0214	MFR/LA/170	BPR/LA/170	01	03/03/2025	TORRVI
(Skymap)
167.		CARNIMAP INJ 5ML	FAMP-0202	MFR/LA/171	BPR/LA/171	00	26/04/2021	TORRVIS(Skymap)
168.		SKYSPA INJECTION 2ML	FAMP-0222	MFR/LA/172	BPR/LA/172	01	24/07/2025	YEMEN
169.		TRAMASKY INJECTION 2ML	FAMP-0221	MFR/LA/173	BPR/LA/173	00	01/05/2021	YEMEN
170.		TRANOPAL INJ 5ML	FAMP-0225	MFR/LA/174	BPR/LA/174	01	28/01/2025	JAGSONPAL
171.		DOFLEX INJ 1ML	FAMP-0224	MFR/LA/175	BPR/LA/175	01	28/07/2023	JAGSONPAL 
172.		CITIPAL INJ 2ML	FAMP-0223	MFR/LA/176	BPR/LA/176	00	05/05/2021	JAGSONPAL
173.		DEXASKY  INJ 2ML	FAMP-0230	MFR/LA/177	BPR/LA/177	00	05/05/2021	TORRVIS 
(SKYMAP)
174.		BISCOTAS INJ 1ML	FAMP-0220	MFR/LA/178	BPR/LA/178	01	18/04/2024	INTAS
175.		MICASKY INJ 1ML	FAMP-0226	MFR/LA/179	BPR/LA/179	00	08/05/2021	TORRVIS
(SKYMAP)
176.		MICASKY OD INJ 1ML	FAMP-0227	MFR/LA/180	BPR/LA/180	00	08/05/2021	TORRVIS 
(SKYMAP)
177.		DDMUST INJECTION 50MG	FAMP-0231	MFR/LA/181	BPR/LA/181	00	05/06/2021	Discontinue
178.		PARAVID INJECTION 2ML	FAMP-0233	MFR/LA/182	BPR/LA/182	01	27/07/2023	ADL
179.		DD MAP INJECTION 25 MG	FAMP-0234	MFR/LA/183	BPR/LA/183	00	19/06/2021	Discontinue
